path_1_bw,path_1_delay,path_1_loss,path_2_bw,path_2_delay,path_2_loss
3.9,85ms,1.0,4.9,80ms,0.2
5.0,83ms,0.5,5.0,75ms,0.8
3.3,83ms,0.0,3.7,71ms,0.9
4.8,62ms,0.2,3.1,84ms,0.5
4.6,59ms,0.4,4.0,69ms,0.0
4.3,63ms,0.8,3.3,55ms,0.5
4.5,83ms,0.4,3.1,62ms,1.0
4.7,74ms,0.7,4.9,68ms,1.0
5.0,58ms,0.7,3.4,55ms,0.0
3.5,82ms,0.4,3.3,64ms,0.1
4.7,80ms,0.9,3.8,77ms,0.8
3.9,83ms,1.0,3.8,66ms,0.1
4.3,80ms,0.9,3.4,63ms,0.9
4.9,73ms,0.2,4.8,62ms,0.0
3.5,54ms,0.8,4.9,83ms,0.8
4.6,73ms,0.0,3.9,59ms,0.6
3.3,54ms,0.2,3.7,81ms,0.8
4.1,60ms,0.5,4.9,78ms,0.2
3.4,67ms,0.0,4.4,71ms,0.9
4.3,75ms,0.0,4.9,60ms,0.4
3.2,58ms,0.7,4.1,56ms,0.7
4.5,68ms,0.8,3.2,53ms,0.0
3.8,77ms,0.8,4.2,83ms,1.0
4.3,53ms,0.0,4.0,85ms,0.8
4.8,55ms,0.9,4.8,85ms,0.6
4.6,60ms,0.5,5.0,81ms,0.0
4.0,64ms,0.5,4.8,76ms,0.0
4.4,64ms,0.6,3.9,71ms,0.4
4.3,70ms,0.5,4.0,62ms,0.8
4.7,74ms,0.7,5.0,59ms,0.8
3.7,72ms,1.0,3.1,60ms,0.6
4.5,51ms,0.9,3.9,72ms,0.9
3.8,66ms,0.8,4.0,68ms,0.5
3.5,73ms,0.1,4.1,61ms,0.0
3.2,54ms,0.8,4.3,66ms,0.4
4.0,59ms,0.9,3.2,79ms,0.7
4.9,60ms,0.9,3.7,69ms,0.5
4.8,75ms,0.9,4.2,80ms,0.0
4.5,81ms,0.3,4.4,76ms,0.0
3.8,84ms,1.0,4.3,74ms,0.5
4.3,60ms,0.7,3.5,76ms,1.0
3.8,54ms,0.9,4.3,73ms,0.2
3.1,77ms,0.0,3.2,82ms,0.7
3.8,77ms,0.0,4.1,50ms,0.9
4.3,75ms,0.9,4.0,76ms,0.8
3.9,77ms,0.3,3.2,74ms,0.7
4.7,60ms,0.1,4.9,65ms,0.8
4.3,56ms,0.5,4.4,67ms,0.1
4.6,76ms,0.6,3.4,69ms,0.4
3.2,75ms,0.5,4.7,73ms,0.8
3.2,62ms,0.1,3.9,64ms,0.0
4.9,81ms,0.9,3.8,76ms,0.3
3.5,82ms,0.6,3.3,74ms,0.0
3.3,55ms,1.0,3.3,67ms,0.3
3.2,68ms,1.0,4.9,55ms,0.1
3.9,73ms,0.6,5.0,70ms,0.6
5.0,76ms,0.2,5.0,73ms,0.0
3.4,70ms,0.6,3.7,81ms,0.8
3.8,82ms,0.8,5.0,64ms,1.0
3.1,53ms,0.5,3.2,66ms,0.9
4.3,53ms,1.0,4.4,64ms,0.4
4.2,69ms,1.0,4.2,82ms,0.6
4.1,70ms,0.1,3.7,53ms,0.3
5.0,77ms,0.1,4.4,54ms,0.0
4.2,56ms,0.7,4.4,81ms,0.8
4.5,57ms,0.1,3.9,53ms,0.4
3.6,52ms,0.2,3.9,65ms,0.4
4.9,52ms,0.2,4.8,73ms,0.3
4.6,50ms,0.9,4.6,69ms,0.3
4.5,60ms,0.5,3.8,69ms,0.2
3.5,75ms,0.8,4.8,81ms,0.5
4.7,51ms,0.2,4.5,56ms,1.0
4.5,81ms,0.7,4.6,77ms,0.1
4.0,70ms,0.5,3.2,52ms,0.7
4.8,54ms,1.0,5.0,57ms,0.8
4.4,81ms,0.9,3.3,69ms,0.1
5.0,63ms,0.2,4.8,66ms,0.8
4.8,81ms,0.0,3.2,66ms,0.7
4.2,54ms,0.1,4.3,61ms,0.2
4.0,85ms,0.7,4.2,52ms,0.1
4.6,61ms,0.9,3.9,72ms,0.6
3.3,67ms,0.2,4.8,67ms,0.9
4.9,76ms,0.0,3.8,55ms,0.6
3.7,81ms,0.8,3.7,64ms,0.3
4.3,54ms,0.0,4.8,69ms,0.0
4.9,55ms,0.2,4.1,61ms,1.0
3.7,79ms,0.1,4.0,82ms,0.1
3.9,67ms,0.1,3.4,73ms,0.5
4.2,56ms,0.0,4.2,65ms,0.3
3.8,58ms,0.2,3.2,70ms,0.2
3.6,80ms,0.0,4.7,64ms,1.0
4.9,82ms,1.0,3.5,81ms,0.5
3.9,73ms,0.6,4.2,64ms,0.4
3.8,55ms,0.4,4.3,81ms,0.3
3.6,75ms,0.0,4.8,53ms,0.1
3.8,62ms,0.5,4.5,73ms,0.1
4.6,60ms,0.0,3.1,78ms,0.4
4.3,53ms,0.7,3.4,62ms,0.1
4.8,68ms,0.4,4.0,83ms,0.7
